,date,toll,pvpc_eur_MWh,prod_cost_eur_MWh
2102,2016-03-01,2.0A,91.68003721416666,41.081743333333335
2103,2016-03-02,2.0.DHA,65.64315320291666,33.26674333333334
2104,2016-03-02,2.0.DHS,65.9687184925,33.32049333333334
2105,2016-03-02,2.0A,85.74868158416668,35.43924333333333
2106,2016-03-03,2.0.DHA,68.67191899541668,35.82632666666667
2107,2016-03-03,2.0.DHS,68.99302867833335,35.88007666666667
2108,2016-03-03,2.0A,88.84164322375001,37.998826666666666
2109,2016-03-04,2.0.DHA,60.58950183541666,29.002160000000003
2110,2016-03-04,2.0.DHS,60.82797128958333,29.055909999999997
2111,2016-03-04,2.0A,80.74848082749999,31.174660000000003
2112,2016-03-05,2.0.DHA,51.36866677916667,20.43216
2113,2016-03-05,2.0.DHS,51.56032870000001,20.48591
2114,2016-03-05,2.0A,71.21140100541665,22.60466
2115,2016-03-06,2.0.DHA,55.490593972499994,23.49424333333333
2116,2016-03-06,2.0.DHS,55.754792448333326,23.547993333333334
2117,2016-03-06,2.0A,75.54391800666667,25.66674333333333
2118,2016-03-07,2.0.DHA,67.89284405916668,35.48632666666666
2119,2016-03-07,2.0.DHS,68.24866794833333,35.54007666666667
2120,2016-03-07,2.0A,88.01557752583334,37.65882666666668
2121,2016-03-08,2.0.DHA,72.74035082833333,39.81549333333333
2122,2016-03-08,2.0.DHS,73.06863518541667,39.86924333333332
2123,2016-03-08,2.0A,92.80866429749999,41.98799333333333
2124,2016-03-09,2.0.DHA,62.830699869583334,30.819659999999995
2125,2016-03-09,2.0.DHS,63.08510807583334,30.873409999999996
2126,2016-03-09,2.0A,82.9483899175,32.992160000000005
2127,2016-03-10,2.0.DHA,62.85709899541666,30.73507666666667
2128,2016-03-10,2.0.DHS,63.149412845,30.788826666666676
2129,2016-03-10,2.0A,82.90504447375001,32.907576666666664
2130,2016-03-11,2.0.DHA,73.12027558541668,39.71174333333333
2131,2016-03-11,2.0.DHS,73.48536628958333,39.76549333333333
2132,2016-03-11,2.0A,93.40899374416666,41.88424333333334
2133,2016-03-12,2.0.DHA,70.83258427916667,37.00341000000001
2134,2016-03-12,2.0.DHS,71.14803161666667,37.05716
2135,2016-03-12,2.0A,91.04068475541668,39.17591000000001
2136,2016-03-13,2.0.DHA,67.65217522249999,33.67382666666666
2137,2016-03-13,2.0.DHS,67.98922911500001,33.72757666666667
2138,2016-03-13,2.0A,87.95202175666667,35.84632666666666
2139,2016-03-14,2.0.DHA,79.59083155916666,45.48882666666666
2140,2016-03-14,2.0.DHS,79.953754615,45.54257666666666
2141,2016-03-14,2.0A,99.82124585916667,47.66132666666667
2142,2016-03-15,2.0.DHA,83.81068666166668,49.536743333333334
2143,2016-03-15,2.0.DHS,84.19586893541667,49.590493333333335
2144,2016-03-15,2.0A,104.1590317975,51.709243333333326
2145,2016-03-16,2.0.DHA,77.05403903625002,43.023410000000005
2146,2016-03-16,2.0.DHS,77.44435265916667,43.07716
2147,2016-03-16,2.0A,97.37323533416668,45.195910000000005
2148,2016-03-17,2.0.DHA,83.97542149541665,49.00049333333333
2149,2016-03-17,2.0.DHS,84.35313451166667,49.05424333333334
2150,2016-03-17,2.0A,104.42193280708331,51.17299333333333
2151,2016-03-18,2.0.DHA,86.07777141875,50.911743333333334
2152,2016-03-18,2.0.DHS,86.51837503958332,50.965493333333335
2153,2016-03-18,2.0A,106.60430166083334,53.08424333333334
2154,2016-03-19,2.0.DHA,80.54038719583333,45.21424333333334
2155,2016-03-19,2.0.DHS,80.93955703333334,45.26799333333333
2156,2016-03-19,2.0A,100.93278433875001,47.386743333333335
2157,2016-03-20,2.0.DHA,79.12143688916665,43.228410000000004
2158,2016-03-20,2.0.DHS,79.58199828166666,43.282160000000005
2159,2016-03-20,2.0A,99.67118300666665,45.40090999999999
2160,2016-03-21,2.0.DHA,78.29360614249998,44.38674333333333
2161,2016-03-21,2.0.DHS,78.62809294833333,44.44049333333333
2162,2016-03-21,2.0A,98.6222816925,46.559243333333335
2163,2016-03-22,2.0.DHA,75.92829874499999,42.64715999999999
2164,2016-03-22,2.0.DHS,76.24339810208333,42.700909999999986
2165,2016-03-22,2.0A,96.12476888083334,44.81966
2166,2016-03-23,2.0.DHA,71.92611611958334,38.665910000000004
2167,2016-03-23,2.0.DHS,72.26838640916667,38.71966
2168,2016-03-23,2.0A,92.16380200083334,40.83841
2169,2016-03-24,2.0.DHA,70.95445357875,37.79341
2170,2016-03-24,2.0.DHS,71.26286701166667,37.847159999999995
2171,2016-03-24,2.0A,91.16814030708332,39.96591
2172,2016-03-25,2.0.DHA,71.82595641874998,38.55674333333334
2173,2016-03-25,2.0.DHS,72.15070878958333,38.61049333333334
2174,2016-03-25,2.0A,92.1114912441667,40.729243333333336
2175,2016-03-26,2.0.DHA,65.48921594583334,32.58799333333333
2176,2016-03-26,2.0.DHS,65.72856786666667,32.64174333333333
2177,2016-03-26,2.0A,85.71470225541667,34.76049333333334
2178,2016-03-27,2.0.DHA,57.36238502608695,24.230149130434786
2179,2016-03-27,2.0.DHS,57.68881546347826,24.293236086956526
2180,2016-03-27,2.0A,76.20735379826087,26.330801304347826
2181,2016-03-28,2.0.DHA,56.408616460416674,25.21674333333334
2182,2016-03-28,2.0.DHS,56.53409919833334,25.270493333333338
2183,2016-03-28,2.0A,76.24833627583332,27.38924333333333
